instruction,actions
17,640
2,380
17,640
17,640
17,640
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
12,497
5,387
12,497
17,640
17,640
12,497
12,497
12,497
18,331
3,357
18,331
12,497
2,380
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
2,380
18,331
18,331
18,331
4,387
23,326
18,331
5,387
12,497
12,497
12,497
23,326
5,387
12,497
18,331
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
5,387
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
12,497
23,326
5,387
23,326
5,387
12,497
6,413
25,339
18,331
18,331
0,269
18,331
8,411
18,331
9,411
18,331
9,387
18,331
18,331
27,326
22,326
15,634
2,380
18,331
27,326
18,331
28,336
18,331
18,331
18,331
18,331
2,380
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
18,331
18,331
18,331
4,387
12,497
23,326
0,269
4,411
27,326
23,326
4,411
18,331
12,497
4,411
12,497
12,497
18,331
18,331
18,331
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
0,269
18,331
18,331
18,331
4,411
4,411
18,331
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
18,331
5,387
12,497
18,331
18,331
18,331
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
2,380
18,331
18,331
18,331
4,387
23,326
18,331
5,387
12,497
12,497
12,497
23,326
5,387
12,497
18,331
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
5,387
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
12,497
23,326
5,387
23,326
5,387
12,497
6,413
25,339
18,331
18,331
0,269
18,331
8,411
18,331
9,411
18,331
9,387
18,331
18,331
27,326
22,326
15,634
2,380
18,331
27,326
18,331
28,336
18,331
18,331
18,331
18,331
2,380
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
18,331
18,331
18,331
4,387
12,497
23,326
0,269
4,411
27,326
23,326
4,411
18,331
12,497
4,411
12,497
12,497
18,331
18,331
18,331
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
0,269
18,331
18,331
18,331
4,411
4,411
18,331
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
18,331
5,387
12,497
18,331
18,331
18,331
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
2,380
18,331
18,331
18,331
4,387
23,326
18,331
5,387
12,497
12,497
12,497
23,326
5,387
12,497
18,331
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
5,387
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
12,497
23,326
5,387
23,326
5,387
12,497
6,413
25,339
18,331
18,331
0,269
18,331
8,411
18,331
9,411
18,331
9,387
18,331
18,331
27,326
22,326
15,634
2,380
18,331
27,326
18,331
28,336
18,331
18,331
18,331
18,331
2,380
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
18,331
18,331
18,331
4,387
12,497
23,326
0,269
4,411
27,326
23,326
4,411
18,331
12,497
4,411
12,497
12,497
18,331
18,331
18,331
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
0,269
18,331
18,331
18,331
4,411
4,411
18,331
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
18,331
5,387
12,497
18,331
18,331
18,331
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
2,380
18,331
18,331
18,331
4,387
23,326
18,331
5,387
12,497
12,497
12,497
23,326
5,387
12,497
18,331
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
5,387
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
12,497
23,326
5,387
23,326
5,387
12,497
6,413
25,339
18,331
18,331
0,269
18,331
8,411
18,331
9,411
18,331
9,387
18,331
18,331
27,326
22,326
15,634
2,380
18,331
27,326
18,331
28,336
18,331
18,331
18,331
18,331
2,380
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
17,640
18,331
18,331
18,331
18,331
4,387
12,497
23,326
0,269
4,411
27,326
23,326
4,411
18,331
12,497
4,411
12,497
12,497
18,331
18,331
18,331
18,331
18,331
1,283
3,357
18,331
17,640
17,640
17,640
17,640
17,640
0,269
18,331
18,331
18,331
4,411
4,411
18,331
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
18,331
5,387
12,497
18,331
18,331
18,331
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
2,380
18,331
18,331
18,331
4,411
18,331
5,387
12,497
12,497
12,497
0,269
18,331
18,331
3,357
18,331
17,640
17,640
17,640
17,640
17,640
18,331
12,497
12,497
28,336
18,331
8,387
12,497
27,326
18,331
1,283
3,357
1,283
3,357
18,331
8,411
18,331
27,326
8,411
13,491
15,634
18,331
18,331
18,331
5,387
3,357
27,326
17,640
18,331
12,497
12,497
12,497
12,497
12,497
18,331
3,357
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
5,387
18,331
18,331
5,387
12,497
8,387
2,380
18,331
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
5,387
12,497
12,497
12,497
2,380
18,331
18,331
18,331
4,387
0,269
12,497
5,387
18,331
17,640
18,331
18,331
18,331
1,283
3,357
18,331
18,331
18,331
8,411
18,331
32,321
9,387
18,331
23,326
0,269
28,336
8,387
17,640
17,640
0,269
18,331
12,497
4,387
12,497
9,411
12,497
17,640
4,387
18,331
8,411
27,326
8,387
17,640
12,497
27,326
17,640
8,387
17,640
17,640
18,331
18,331
2,380
12,497
12,497
27,326
4,387
4,387
18,331
18,331
5,411
12,497
12,497
27,326
4,387
4,411
12,497
12,497
17,640
12,497
17,640
27,326
17,640
18,331
4,411
18,331
3,357
12,497
12,497
28,336
17,640
18,331
17,640
12,497
12,497
12,497
12,497
12,497
12,497
12,497
18,331
3,357
18,331
18,331
